Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;20/12/2023;7 855,83;7 855,83;0;Paiement affecté;69631048;-;;AQUITAINE ECLAIRAGE                ;plusieurs documents associées;SOLDE
JP LEBRUN;378155824;55;4672955;913;Virement;20/12/2023;23 128,97;23 128,97;0;Paiement affecté;69631047;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
ERP;822899787;37;6657806;10919;Virement;20/12/2023;4 567,61;4 567,61;0;Paiement affecté;69631049;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;19/12/2023;1 224,59;1 224,59;0;Paiement affecté;69619695;-;;S.A.R.L. JEUX DE LUMIERE           ;202306534;Facture
TIAS;434770442;29;4646614;1480;Virement;19/12/2023;207,16;207,16;0;Paiement affecté;69619699;-;;SAS TIAS                           ;202307247;Facture
HENRI;702016452;22;5339496;778;Virement;19/12/2023;882,69;882,69;0;Paiement affecté;69619696;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
LCRB BAT;537545394;42;6445307;878;Virement;19/12/2023;78,97;78,97;0;Paiement affecté;69619701;-;;SARL LC DECO                       ;202307341;Facture
MAWA;499761567;35;6946719;c15096;Virement;19/12/2023;13,85;13,85;0;Paiement affecté;69619702;-;;MAWA SAS                           ;202306910;Facture
MAWA MONACO;997003850;98000;7563852;17651;Virement;19/12/2023;261,54;261,54;0;Paiement affecté;69619698;-;;MAWA MONACO                        ;202306987;Facture
REXEL FRANCE;309304616;860;4665279;1344;Virement;18/12/2023;47,2;47,2;0;Paiement affecté;69604097;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Eclatement de cash crédit;18/12/2023;165,74;165,74;0;Paiement affecté;69604094;-;;                                   ;202306310;Facture
BITAROFF;498974146;17;4744956;227;Virement;18/12/2023;204,5;204,5;0;Paiement affecté;69604095;-;;BITAROFF                           ;202307555;Facture
CLAUDE MERMIN ELECTRICITE;320917107;56;6309680;1047;Virement;18/12/2023;17,78;17,78;0;Paiement affecté;69604098;-;;SOCIETE CLAUDE MERMIN ELECTRICITE G;202306912;Facture
LES ARTISANS BATISSEURS;437811904;22;6567495;11476;Virement;18/12/2023;96,92;96,92;0;Paiement affecté;69604096;-;;LES ARTISANS BATISSEURS            ;202306473;Facture
SONEPAR SUD-EST;956500367;910;7238670;17401;Eclatement de cash crédit;18/12/2023;221,57;221,57;0;Paiement affecté;69604094;-;;                                   ;202306279;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;18/12/2023;387,31;387,31;0;Paiement affecté;69604094;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
ASMI;387765340;30;7109008;15261;Eclatement de cash crédit;15/12/2023;283,08;283,08;0;Paiement affecté;69589286;-;;                                   ;plusieurs documents associées;SOLDE
PROLUM BOURGOGNE FRANCHE-COMTE;919337402;11;7346028;17786;Virement;15/12/2023;5 175,99;5 175,99;0;Paiement affecté;69589288;-;;PROLUM BOURGOGNE FRANCHE COMTE     ;plusieurs documents associées;SOLDE
L'ELECTRICIEN BY T;890859705;18;7444665;16881;Eclatement de cash crédit;15/12/2023;1 233,86;1 233,86;0;Paiement affecté;69589286;-;;                                   ;plusieurs documents associées;SOLDE
SOCIETE FONCIERE P.L.M.;377518436;102;7598862;16199;Eclatement de cash crédit;15/12/2023;1 768,63;1 768,63;0;Paiement affecté;69589286;-;;                                   ;202306383;Facture
SOCIETE FONCIERE P.L.M.;377518436;94;7636392;16704;Eclatement de cash crédit;15/12/2023;20 453,48;20 453,48;0;Paiement affecté;69589286;-;;                                   ;202307186;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;15/12/2023;23 739,05;23 739,05;0;Paiement affecté;69589286;-;;MELJAC                             ;plusieurs documents associées;SOLDE
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;14/12/2023;161,87;161,87;0;Paiement affecté;69578030;-;;SARL  VIBERT ECLAIRAGE             ;plusieurs documents associées;SOLDE
BITAROFF;498974146;17;4744956;227;Virement;14/12/2023;1 319,77;1 319,77;0;Paiement affecté;69578026;-;;BITAROFF                           ;202307462;Facture
BITAROFF;498974146;17;4744956;227;Virement;14/12/2023;489,54;489,54;0;Paiement affecté;69578029;-;;BITAROFF                           ;202307322;Facture
BITAROFF;498974146;17;4744956;227;Virement;14/12/2023;65,45;65,45;0;Paiement affecté;69578031;-;;BITAROFF                           ;202307338;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;14/12/2023;4 456,61;4 456,61;0;Paiement affecté;69578025;-;;SARL  BUCHON VINCENT               ;202307028;Facture
MES INTERNATIONAL;997833991;98000;6748003;;Virement;14/12/2023;580,42;580,42;0;Paiement affecté;69578028;-;;M.E.S. INTERNATIONAL               ;202306693;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/12/2023;206,06;206,06;0;Paiement affecté;69556553;-;;ROGER DUBOIS SARL                  ;202306462;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/12/2023;152,74;152,74;0;Paiement affecté;69556554;-;;ROGER DUBOIS SARL                  ;202306464;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/12/2023;882,79;882,79;0;Paiement affecté;69556551;-;;ROGER DUBOIS SARL                  ;202306424;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/12/2023;932,03;932,03;0;Paiement affecté;69556550;-;;ROGER DUBOIS SARL                  ;202306425;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;12/12/2023;582,58;582,58;0;Paiement affecté;69556552;-;;ROGER DUBOIS SARL                  ;202306391;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;12/12/2023;6 842,81;6 842,81;0;Paiement affecté;69556549;-;;CABANES BARTHEROTTE   FRERES       ;69556549;Rétrocession d'un crédit
PURE INSPIRATION;412451965;13;5001567;10253;Virement;11/12/2023;6 543,60;6 543,60;0;Paiement affecté;69552309;-;;PURE INSPIRATION                   ;plusieurs documents associées;SOLDE
VALENTE DESIGN;481328904;26;4640845;1518;Virement;08/12/2023;11 528,50;11 528,50;0;Paiement affecté;69543268;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
PROLUM NORD PAS DE CALAIS;448384347;51;4672951;8633;Virement;08/12/2023;485,36;485,36;0;Paiement affecté;69543269;-;;PROLUM NORD PAS DE CALAIS          ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;08/12/2023;121,64;121,64;0;Paiement affecté;69543270;-;;PARIS DESIGN DISTRICT              ;plusieurs documents associées;SOLDE
TSEE FRANCE;799155858;19;6211145;1449;Virement;08/12/2023;14 917,66;14 917,66;0;Paiement affecté;69543267;-;;TSEE FRANCE                        ;plusieurs documents associées;SOLDE
LUMIDIS;382537504;13;4640861;502;Virement;07/12/2023;25 123,19;25 123,19;0;Paiement affecté;69535524;-;;LUMIDIS                            ;plusieurs documents associées;SOLDE
PROLUM CDC;811966167;17;4796676;8918;Virement;07/12/2023;8 743,07;8 743,07;0;Paiement affecté;69535526;-;;PROLUM ILE DE FRANCE               ;202306509;Facture
HENRI;702016452;22;5339496;778;Virement;07/12/2023;498,41;498,41;0;Paiement affecté;69535527;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
MISE EN SCENE;434895066;34;4665331;7955;Virement;06/12/2023;83,38;83,38;0;Paiement affecté;69527475;-;;MISE EN SCENE                      ;plusieurs documents associées;SOLDE
SODELECT;380461855;47;4672914;1415;Virement;06/12/2023;3 187,09;3 187,09;0;Paiement affecté;69527469;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;06/12/2023;2 396,74;2 396,74;0;Paiement affecté;69527471;-;;SOCIETE SR                         ;202306278;Facture
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;06/12/2023;44,74;44,74;0;Paiement affecté;69527476;-;;PROLUM CHAMPAGNE ARDENNES          ;202306236;Facture
BITAROFF;498974146;17;4744956;227;Virement;06/12/2023;188,51;188,51;0;Paiement affecté;69527473;-;;BITAROFF                           ;202307163;Facture
BITAROFF;498974146;17;4744956;227;Virement;06/12/2023;135,73;135,73;0;Paiement affecté;69527474;-;;BITAROFF                           ;202307164;Facture
AGB;333296580;74;6429428;13595;Chèque;06/12/2023;77 441,63;77 441,63;0;Paiement affecté;69527467;-;;                                   ;plusieurs documents associées;SOLDE
LAURIA FRERES;441386232;25;7128841;902;Virement;06/12/2023;1 774,93;1 774,93;0;Paiement affecté;69527472;-;;LAURIA FRERES                      ;202306275;Facture
ENT D'ELECTRICITE BRENGUIER;423072172;38;4844999;264;Virement;05/12/2023;101,65;101,65;0;Paiement affecté;69510378;-;;SARL ENT D ELECTRICITE BRENGUIER   ;202307384;Facture
PURE INSPIRATION;412451965;13;5001567;10253;Virement;05/12/2023;3 461,34;3 461,34;0;Paiement affecté;69510374;-;;PURE INSPIRATION                   ;202306540;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;05/12/2023;415,72;415,72;0;Paiement affecté;69510376;-;;MELJAC                             ;plusieurs documents associées;SOLDE
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;04/12/2023;3 657,39;3 657,39;0;Paiement affecté;69504593;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
ELP SERVICES;487470163;22;4643823;7618;Virement;04/12/2023;1 299,25;1 299,25;0;Paiement affecté;69504598;-;;SARL ELP SERVICES                  ;202306311;Facture
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;04/12/2023;1 389,79;1 389,79;0;Paiement affecté;69504597;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;04/12/2023;65,63;65,63;0;Paiement affecté;69504602;-;;SARL STUDIO ON                     ;202307063;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;04/12/2023;170,71;170,71;0;Paiement affecté;69504599;-;;SARL STUDIO ON                     ;202307455;Facture
MEURICE S.P.A;345034904;10;5596457;789 MEURICE;Virement;04/12/2023;4 459,70;4 459,70;0;Paiement affecté;69504592;-;;MEURICE S P A                      ;plusieurs documents associées;SOLDE
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;04/12/2023;4 723,96;4 723,96;0;Paiement affecté;69504591;-;;CABANES BARTHEROTTE   FRERES       ;plusieurs documents associées;SOLDE
WITO;527572572;32;7042397;8996;Virement;04/12/2023;16,63;16,63;0;Paiement affecté;69504603;-;;WITO                               ;202306512;Facture
PROLUM ATLANTIQUE;834606501;23;7238662;16787;Virement;04/12/2023;5 073,00;5 073,00;0;Paiement affecté;69504589;-;;PROLUM ATLANTIQUE                  ;plusieurs documents associées;SOLDE
MAWA MONACO;997003850;98000;7563852;17651;Virement;04/12/2023;1 881,95;1 881,95;0;Paiement affecté;69504595;-;;MAWA MONACO                        ;202306567;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;04/12/2023;81,95;81,95;0;Paiement affecté;69504601;-;;SONEPAR FRANCE DISTRIBUTION        ;69504601;Rétrocession d'un crédit
VIBERT ECLAIRAGE;491158127;36;4640866;4085;Virement;01/12/2023;83,31;83,31;0;Paiement affecté;69480418;-;;SARL  VIBERT ECLAIRAGE             ;plusieurs documents associées;SOLDE
H T E HAUTE TECHNOLOGIE ELECTRIQUE;449654441;12;4640875;8606;Virement;01/12/2023;1 245,40;1 245,40;0;Paiement affecté;69480394;-;;H T E   HAUTE TECHNOLOGIE ELECTRIQU;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;01/12/2023;814,44;814,44;0;Paiement affecté;69480396;-;;ELECTRICITE PLAFONDS LUMIERE       ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/12/2023;496,16;496,16;0;Paiement affecté;69480403;-;;PARIS DESIGN DISTRICT              ;202306234;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/12/2023;352,16;352,16;0;Paiement affecté;69480409;-;;PARIS DESIGN DISTRICT              ;202306216;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/12/2023;600,08;600,08;0;Paiement affecté;69480400;-;;PARIS DESIGN DISTRICT              ;202306304;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/12/2023;56,09;56,09;0;Paiement affecté;69480422;-;;PARIS DESIGN DISTRICT              ;202306585;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;01/12/2023;132,96;132,96;0;Paiement affecté;69480417;-;;PARIS DESIGN DISTRICT              ;202306704;Facture
FONCIERE DU ROND POINT;398477646;51;5171877;659;Virement;01/12/2023;486,35;486,35;0;Paiement affecté;69480407;-;;FORUM PATRIMOINE                   ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;01/12/2023;15 249,30;15 249,30;0;Paiement affecté;69480386;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;01/12/2023;273,96;273,96;0;Paiement affecté;69480411;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202306376;Facture
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;01/12/2023;14 613,11;14 613,11;0;Paiement affecté;69480390;-;;SARL IMBERT ELECTRICITE            ;202306073;Facture
IT'LEC;444126528;66;7289498;17155;Eclatement de cash crédit;01/12/2023;11 071,72;11 071,72;0;Paiement affecté;69480383;-;;                                   ;plusieurs documents associées;SOLDE
BETTIN INSTALLATIONS ELECTRIQUES;481012409;19;7367054;2334;Virement;01/12/2023;183,77;183,77;0;Paiement affecté;69480415;-;;BETTIN INSTAL                      ;202306632;Facture
L'ELECTRICIEN BY T;890859705;18;7444665;16881;Eclatement de cash crédit;01/12/2023;7 562,24;7 562,24;0;Paiement affecté;69480383;-;;                                   ;202306508;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;01/12/2023;18 633,96;18 633,96;0;Paiement affecté;69480383;-;;MELJAC                             ;plusieurs documents associées;SOLDE
MEGALUX MI;531365393;10;4665330;6629;Virement;30/11/2023;31,33;31,33;0;Paiement affecté;69467692;-;;MEGALUX MI SARL                    ;202306699;Facture
ELECTROPOSE;410353023;14;4668108;598;Virement;30/11/2023;916,95;916,95;0;Paiement affecté;69467690;-;;ELECTROPOSE                        ;plusieurs documents associées;SOLDE
SALUSTRA S A;668502156;15;4672952;8972;Eclatement de cash crédit;29/11/2023;455,06;455,06;0;Paiement affecté;69459506;-;;                                   ;plusieurs documents associées;SOLDE
METRES CARRES;528859085;29;5025795;5575;Virement;29/11/2023;1 298,10;1 298,10;0;Paiement affecté;69459510;-;;METRES CARRES                      ;69459510;Rétrocession d'un crédit
DOCKS ELECTRIQUES RHONE DURANC;572621803;12;5039855;427;Eclatement de cash crédit;29/11/2023;608,57;608,57;0;Paiement affecté;69459506;-;;                                   ;202305992;Facture
ETABLISSEMENTS DEGREANE;549501203;91;7458858;17417;Virement;29/11/2023;2 356,04;2 356,04;0;Paiement affecté;69459508;-;;ETABLISSEMENTS DEGREANE            ;69459508;Rétrocession d'un crédit
BALANCE MELJAC;999018989;78569;7777777;;Chèque;29/11/2023;1 063,63;1 063,63;0;Paiement affecté;69459506;-;;                                   ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Virement;28/11/2023;7 624,92;7 624,92;0;Paiement affecté;69454110;-;;SONEPAR FRANCE DISTRIBUTION        ;202305953;Facture
BITAROFF;498974146;17;4744956;227;Virement;28/11/2023;202,78;202,78;0;Paiement affecté;69454115;-;;BITAROFF                           ;202307036;Facture
DRL;429079528;31;4746062;8854;Virement;28/11/2023;35,87;35,87;0;Paiement affecté;69454117;-;;DIFFUSION RATIONNELLE DE LA LUMI   ;202306397;Facture
GUINIER GENIE ELECTRIQUE;334851755;51;4796677;754;Virement;28/11/2023;5 861,68;5 861,68;0;Paiement affecté;69454112;-;;GUINIER GENIE ELECTRIQUE           ;69454112;Rétrocession d'un crédit
PHIBOR;412790198;37;5639809;1167;Virement;28/11/2023;620,16;620,16;0;Paiement affecté;69454114;-;;PHIBOR ENTREPRISES                 ;202306029;Facture
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;28/11/2023;54 693,22;54 693,22;0;Paiement affecté;69454108;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;plusieurs documents associées;SOLDE
ELEX;533998332;50;7464579;18044;Virement;28/11/2023;2 242,50;2 242,50;0;Paiement affecté;69454113;-;;ELEX                               ;202306369;Facture
DIGISECUR;802442426;44;7245163;11221;Virement;27/11/2023;1 215,09;1 215,09;0;Paiement affecté;69443215;-;;MELJAC                             ;plusieurs documents associées;SOLDE
LES ARTISANS BATISSEURS;437811904;22;6567495;11476;Lcrm-sbf;24/11/2023;1 087,28;1 087,28;0;Paiement affecté;3168178;11/12/2023;;LES ARTISANS BATISSEURS            ;202305970;Facture
RDM;433792876;24;4702808;1224;Chèque;23/11/2023;14 488,57;14 488,57;0;Paiement affecté;69426434;-;;                                   ;plusieurs documents associées;SOLDE
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;23/11/2023;10 701,47;10 701,47;0;Paiement affecté;69426435;-;;PROLUM CHAMPAGNE ARDENNES          ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;22/11/2023;1 382,47;1 382,47;0;Paiement affecté;69418031;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
ETS JEAN GRANIOU;958803553;97;5767532;739;Virement;22/11/2023;229,15;229,15;0;Paiement affecté;69418034;-;;ETABLISSEMENTS  JEAN  GRANIOU      ;202305872;Facture
ERP;822899787;37;6657806;10919;Virement;22/11/2023;1 086,18;1 086,18;0;Paiement affecté;69418032;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
DAEM;999373996;98000;5074914;;Virement;21/11/2023;951,27;951,27;0;Paiement affecté;69408012;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
SASIH;417782190;33;5183621;8055;Eclatement de cash crédit;21/11/2023;1 183,48;1 183,48;0;Paiement affecté;69408009;-;;                                  G;69408009;OD crédit Client débit Acheteur
STE LUME;527561039;27;5600126;10863;Eclatement de cash crédit;21/11/2023;165,38;165,38;0;Paiement affecté;69408009;-;;                                   ;202306018;Facture
LUX HOME LIGHTING;833459381;12;6599801;14161;Virement;21/11/2023;149,38;149,38;0;Paiement affecté;69408013;-;;LUX HOME LIGHTING                  ;202306435;Facture
WITO;527572572;32;7042397;8996;Virement;21/11/2023;9 559,28;9 559,28;0;Paiement affecté;69408007;-;;WITO                               ;202305467;Facture
DITHO;851383059;17;7140847;13694;Eclatement de cash crédit;21/11/2023;1 247,26;1 247,26;0;Paiement affecté;69408009;-;;                                   ;202306428;Facture
ELEX;533998332;50;7464579;18044;Virement;21/11/2023;1 382,54;1 382,54;0;Paiement affecté;69408010;-;;ELEX                               ;202306113;Facture
SAM FREM;997003827;98000;7560041;18512;Eclatement de cash crédit;21/11/2023;3 061,82;3 061,82;0;Paiement affecté;69408009;-;;                                   ;202305466;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;21/11/2023;5 657,94;5 657,94;0;Paiement affecté;69408009;-;;MELJAC                             ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;20/11/2023;705,58;705,58;0;Paiement affecté;69395960;-;;                                   ;202305794;Facture
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;20/11/2023;11 275,18;11 275,18;0;Paiement affecté;69395962;-;;                                   ;plusieurs documents associées;SOLDE
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;20/11/2023;5 489,07;5 489,07;0;Paiement affecté;69395964;-;;SARL AQUITAINE                     ;plusieurs documents associées;SOLDE
JP LEBRUN;378155824;55;4672955;913;Virement;20/11/2023;30;30;0;Paiement affecté;69395967;-;;ETS LEBRUN ELECTRICITE             ;202306184;Facture
PROLUM ATLANTIQUE;834606501;23;7238662;16787;Virement;20/11/2023;3 949,43;3 949,43;0;Paiement affecté;69395965;-;;PROLUM ATLANTIQUE                  ;202306013;Facture
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;17/11/2023;23 839,04;23 839,04;0;Paiement affecté;69385095;-;;SARL SERRA                         ;202305950;Facture
MAWA;499761567;35;6946719;c15096;Virement;17/11/2023;604,49;604,49;0;Paiement affecté;69385099;-;;MAWA SAS                           ;plusieurs documents associées;SOLDE
CEGELEC PAYS DE SAVOIE;537915241;21;7155981;3076;Virement;17/11/2023;680,75;680,75;0;Paiement affecté;69385098;-;;CEGELEC PAYS DE SAVOIE             ;202305682;Facture
CEGELEC PAYS DE SAVOIE;537915241;21;7155981;3076;Virement;17/11/2023;111,71;111,71;0;Paiement affecté;69385104;-;;CEGELEC PAYS DE SAVOIE             ;202305884;Facture
LUMITHEQUE;528075625;46;7373761;5299;Virement;17/11/2023;412,33;412,33;0;Paiement affecté;69385103;-;;LUMITHEQUE                         ;202306438;Facture
LUMITHEQUE;528075625;46;7373761;5299;Virement;17/11/2023;413,38;413,38;0;Paiement affecté;69385101;-;;LUMITHEQUE                         ;69385101;OD crédit Client débit Acheteur
MAWA MONACO;997003850;98000;7563852;17651;Virement;17/11/2023;935,78;935,78;0;Paiement affecté;69385097;-;;MAWA MONACO                        ;202306510;Facture
CEF YESSS ELECTRIQUE;319883344;115;900468;;Chèque;17/11/2023;12 790,69;12 790,69;0;Paiement affecté;69385094;-;;                                   ;69385094;Rétrocession d'un crédit
REXEL FRANCE;309304616;860;4665279;1344;Virement;16/11/2023;5 451,86;5 451,86;0;Paiement affecté;69372936;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Virement;16/11/2023;2 393,63;2 393,63;0;Paiement affecté;69372938;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;16/11/2023;81,94;81,94;0;Paiement affecté;69372939;-;;SARL  VERNASSA ELECTRICITE         ;202305996;Facture
JP LEBRUN;378155824;55;4672955;913;Virement;16/11/2023;5 927,20;5 927,20;0;Paiement affecté;69372935;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;15/11/2023;4 554,00;4 554,00;0;Paiement affecté;69359873;-;;PROLUM CHAMPAGNE ARDENNES          ;plusieurs documents associées;SOLDE
CLEMANCON;322134107;42;5282692;7443;Virement;15/11/2023;1 293,95;1 293,95;0;Paiement affecté;69359875;-;;CLEMANCON                          ;69359875;Rétrocession d'un crédit
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;14/11/2023;414,1;414,1;0;Paiement affecté;69350346;-;;ROGER DUBOIS SARL                  ;plusieurs documents associées;SOLDE
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;14/11/2023;240,46;240,46;0;Paiement affecté;69350348;-;;ROGER DUBOIS SARL                  ;202305993;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;14/11/2023;24 813,12;24 813,12;0;Paiement affecté;69350341;-;;ROGER DUBOIS SARL                  ;69350341;Rétrocession d'un crédit
MEURICE S.P.A;345034904;10;5596457;789 MEURICE;Virement;14/11/2023;2 973,14;2 973,14;0;Paiement affecté;69350342;-;;MEURICE S P A                      ;202306119;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;14/11/2023;89,89;89,89;0;Paiement affecté;69350350;-;;CABANES BARTHEROTTE   FRERES       ;202305559;Facture
VERNASSA ELECTRICITE;500194188;16;7096087;5792;Virement;14/11/2023;60;60;0;Paiement affecté;69350351;-;;SARL  VERNASSA ELECTRICITE         ;202305867;Facture
PROLUM BOURGOGNE FRANCHE-COMTE;919337402;11;7346028;17786;Virement;14/11/2023;2 164,60;2 164,60;0;Paiement affecté;69350344;-;;PROLUM BOURGOGNE FRANCHE COMTE     ;202305857;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;13/11/2023;773,88;773,88;0;Paiement affecté;69338821;-;;SARL STUDIO ON                     ;202306812;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;13/11/2023;147,86;147,86;0;Paiement affecté;69338824;-;;SARL STUDIO ON                     ;202306819;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;13/11/2023;102,16;102,16;0;Paiement affecté;69338825;-;;SARL STUDIO ON                     ;202306811;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;13/11/2023;201,4;201,4;0;Paiement affecté;69338823;-;;SARL STUDIO ON                     ;202306953;Facture
ESPACE ELEC;412628323;54;5545056;1885;Eclatement de cash crédit;13/11/2023;8 801,94;8 801,94;0;Paiement affecté;69338820;-;;                                   ;plusieurs documents associées;SOLDE
LUCE VITA;788957835;36;5764068;8976;Eclatement de cash crédit;13/11/2023;14 901,04;14 901,04;0;Paiement affecté;69338820;-;;                                  G;plusieurs documents associées;SOLDE
ANFRY ELECTRICITE;325866200;26;6521271;82;Eclatement de cash crédit;13/11/2023;336,33;336,33;0;Paiement affecté;69338820;-;;                                   ;plusieurs documents associées;SOLDE
LUNE;879140945;20;7085210;16754;Eclatement de cash crédit;13/11/2023;5 126,67;5 126,67;0;Paiement affecté;69338820;-;;                                   ;plusieurs documents associées;SOLDE
LUMEN TOULOUSE;903004521;14;7096391;16548;Eclatement de cash crédit;13/11/2023;7 973,59;7 973,59;0;Paiement affecté;69338820;-;;                                  G;plusieurs documents associées;SOLDE
DITHO;851383059;17;7140847;13694;Eclatement de cash crédit;13/11/2023;13 178,94;13 178,94;0;Paiement affecté;69338820;-;;                                   ;202306066;Facture
SIGECO;487624603;22;7404957;8575;Virement;13/11/2023;314,35;314,35;0;Paiement affecté;69338822;-;;SIGECO                             ;202306584;Facture
L'ELECTRICIEN BY T;890859705;18;7444665;16881;Eclatement de cash crédit;13/11/2023;1 071,44;1 071,44;0;Paiement affecté;69338820;-;;                                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;13/11/2023;51 389,95;51 389,95;0;Paiement affecté;69338820;-;;MELJAC                             ;plusieurs documents associées;SOLDE
VALENTE DESIGN;481328904;26;4640845;1518;Virement;10/11/2023;29 023,25;29 023,25;0;Paiement affecté;69328759;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
SODELECT;380461855;47;4672914;1415;Virement;10/11/2023;26 551,41;26 551,41;0;Paiement affecté;69328760;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
PURE INSPIRATION;412451965;13;5001567;10253;Virement;10/11/2023;1 113,82;1 113,82;0;Paiement affecté;69328766;-;;PURE INSPIRATION                   ;plusieurs documents associées;SOLDE
